id,site,is_active,is_new,first_date,last_date,days_online,url,type,nb_units,nb_units_residential,nb_units_commercial,lat,lng,address,city,borough,first_price,last_price,is_price_changed,potential_revenue
23393590,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~saint-lazare/23393590?view=Summary,Duplex,2.0,,,45.399963,-74.138933,"1894 - 1896, Chemin Sainte-Angélique",Saint-Lazare,,525000.0,525000.0,0,46800.0
23252426,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~saint-jean-sur-richelieu/23252426?view=Summary,Triplex,3.0,,,45.34101779,-73.27706115,"129 - 131, boulevard Saint-Luc",Saint-Jean-sur-Richelieu,,799000.0,799000.0,0,29520.0
14512995,centris,0,0,2020-03-29,2020-05-19,51,https://www.centris.ca/en/duplexes~for-sale~longueuil-saint-hubert/14512995?view=Summary,Duplex,2.0,,,45.490377,-73.459482,"1660 - 1662, Rue Balmoral",Longueuil,Saint-Hubert,299000.0,299000.0,0,24000.0
14030572,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~cowansville/14030572?view=Summary,Duplex,2.0,,,45.20459,-72.75099399999998,"209 - 211, Rue Willard",Cowansville,,175000.0,175000.0,0,13800.0
20460095,centris,0,0,2020-03-29,2020-05-26,58,https://www.centris.ca/en/5plex~for-sale~chateauguay/20460095?view=Summary,Quintuplex,5.0,,,45.37602241,-73.75392468,"318 - 320C, Rue Brault",Châteauguay,,568000.0,568000.0,0,42120.0
13275467,centris,0,0,2020-03-29,2020-04-18,20,https://www.centris.ca/en/4plex~for-sale~saint-hyacinthe/13275467?view=Summary,Quadruplex,4.0,,,45.62586742,-72.94267372,"430 - 432, Avenue de la Concorde Nord",Saint-Hyacinthe,,275000.0,275000.0,0,30300.0
22379231,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~sorel-tracy/22379231?view=Summary,Triplex,3.0,,,46.041715,-73.107718,"127, Rue Limoges",Sorel-Tracy,,179000.0,179000.0,0,17220.0
20887491,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~carignan/20887491?view=Summary,Duplex,2.0,,,45.466231,-73.291309,"199Z - 201Z, Rue des Ormes",Carignan,,425000.0,425000.0,0,7800.0
12615340,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~sorel-tracy/12615340?view=Summary,Triplex,3.0,,,46.039863,-73.11055,"92 - 94, Rue Adélaïde",Sorel-Tracy,,164000.0,164000.0,0,17100.0
19735358,centris,0,0,2020-03-29,2020-05-01,33,https://www.centris.ca/en/triplexes~for-sale~l-ile-perrot/19735358?view=Summary,Triplex,3.0,,,45.39502,-73.95949399999998,"28 - 32, boulevard Perrot",L'Île-Perrot,,429000.0,429000.0,0,27456.0
19516415,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~sorel-tracy/19516415?view=Summary,Duplex,2.0,,,46.04427941,-73.1104708,"118, Rue Charlotte",Sorel-Tracy,,129000.0,129000.0,0,12720.0
28941265,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/5plex~for-sale~henryville/28941265?view=Summary,Quintuplex,5.0,,,45.14446006,-73.19367993,"1030Z - 1038Z, Route 133",Henryville,,299000.0,299000.0,0,40800.0
20787857,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~longueuil-saint-hubert/20787857?view=Summary,Triplex,3.0,,,45.49382571,-73.47384778,"2031, Rue Holmes",Longueuil,Saint-Hubert,624000.0,624000.0,0,41400.0
21046298,centris,0,0,2020-03-29,2020-04-29,31,https://www.centris.ca/en/duplexes~for-sale~saint-dominique/21046298?view=Summary,Duplex,2.0,,,45.56495988,-72.85355153,"1177 - 1179, Rue Principale",Saint-Dominique,,244900.0,244900.0,0,14400.0
21508994,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~longueuil-saint-hubert/21508994?view=Summary,Triplex,3.0,,,45.493038,-73.42955400000002,"3715 - 3719, Montée Saint-Hubert",Longueuil,Saint-Hubert,750000.0,750000.0,0,46800.0
14412915,centris,0,0,2020-03-29,2020-05-19,51,https://www.centris.ca/en/duplexes~for-sale~warden/14412915?view=Summary,Duplex,2.0,,,45.379892,-72.50409,"216 - 218, Rue Principale",Warden,,109900.0,109900.0,0,4560.0
13653342,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~sorel-tracy/13653342?view=Summary,Quadruplex,4.0,,,46.04058385,-73.11105514,"162 - 168, Rue Elizabeth",Sorel-Tracy,,179900.0,179900.0,0,23460.0
20684762,centris,0,1,2020-03-29,2020-04-06,8,https://www.centris.ca/en/triplexes~for-sale~la-prairie/20684762?view=Summary,Triplex,3.0,,,45.410321,-73.49409,"532 - 540, Rue De Gruchy",La Prairie,,439000.0,439000.0,0,33180.0
18618211,centris,0,1,2020-03-29,2020-04-06,8,https://www.centris.ca/en/duplexes~for-sale~roxton-pond/18618211?view=Summary,Duplex,2.0,,,45.47826313,-72.65168152,"1386 - 1388, Rue Jérôme",Roxton Pond,,195000.0,195000.0,0,14100.0
13874511,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~saint-jean-sur-richelieu/13874511?view=Summary,Triplex,3.0,,,45.31286318,-73.25933966,"141 - 143, Rue Saint-Louis",Saint-Jean-sur-Richelieu,,349000.0,349000.0,0,25020.0
16648721,centris,0,0,2020-03-29,2020-05-26,58,https://www.centris.ca/en/triplexes~for-sale~saint-hyacinthe/16648721?view=Summary,Triplex,3.0,,,45.629325,-72.957739,"2300 - 2310, Avenue Bourdages Nord",Saint-Hyacinthe,,250000.0,250000.0,0,21180.0
